Division,Score
Southeastern Conference - West,40.8
Big 12 Conference,37.1
Pac-12 Conference - North,36.6
Big Ten Conference - Legends,33.7
Big Ten Conference - Leaders,29.9
Southeastern Conference - East,29.6
Atlantic Coast Conference - Coastal,29.2
Independent,29.1
Big East Conference,28.3
Pac-12 Conference - South,26.4
Mountain West Conference,25.0
Mid-American Conference - West,23.4
Conference USA - West,23.3
Atlantic Coast Conference - Atlantic,22.9
Western Athletic Conference,17.8
Mid-American Conference - East,17.2
Conference USA - East,17.0
Sun Belt Conference,15.6
FCS,1.0
